id,name,country_id,state_id
637,"28 de Noviembre",11,3649
638,"Abra Pampa",11,3645
639,Achiras,11,3642
640,"Adelia María",11,3642
641,"Agua de Oro",11,3642
642,Aguilares,11,3637
643,"Alba Posse",11,3644
644,Albardón,11,3634
645,"Aldea San Antonio",11,3654
646,Alderetes,11,3637
647,"Alejandro Roca",11,3642
648,"Alejo Ledesma",11,3642
649,Allen,11,3639
650,Almafuerte,11,3644
651,Almafuerte,11,3642
652,Alpachiri,11,3655
653,"Alta Gracia",11,3642
654,"Alta Italia",11,3655
655,"Alto Río Senguer",11,3651
656,"Altos de Chipión",11,3642
657,Aluminé,11,3648
658,Alvear,11,3638
659,Ancasti,11,3647
660,Andacollo,11,3648
661,Andalgalá,11,3647
662,Anguil,11,3655
663,"Antofagasta de la Sierra",11,3647
664,"Apolinario Saravia",11,3643
665,Aranguren,11,3654
666,Arata,11,3655
667,Arauco,11,3653
668,Arias,11,3642
669,"Aristóbulo del Valle",11,3644
670,Armstrong,11,3641
671,Arroyito,11,3642
672,"Arroyo Cabral",11,3642
673,"Arroyo Seco",11,3641
674,"Arroyo del Medio",11,3644
675,Arrufó,11,3641
676,Avellaneda,11,3641
677,"Aviá Terai",11,3640
678,Azara,11,3644
679,Añatuya,11,3635
680,Añelo,11,3648
681,Balnearia,11,3642
682,Balvanera,11,3656
683,Barracas,11,3656
684,Barrancas,11,3648
685,Barranqueras,11,3640
686,Basail,11,3640
687,Belgrano,11,3656
688,"Bell Ville",11,3642
689,"Bella Italia",11,3641
690,"Bella Vista",11,3637
691,Beltrán,11,3635
692,"Bernardo Larroudé",11,3655
693,"Bernardo de Irigoyen",11,3644
694,Bernasconi,11,3655
695,Berrotarán,11,3642
696,"Berón de Astrada",11,3638
697,Boedo,11,3656
698,Bonpland,11,3638
699,Bonpland,11,3644
700,Bovril,11,3654
701,Brinkmann,11,3642
702,Buchardo,11,3642
703,"Buena Esperanza",11,3636
704,"Buenos Aires",11,3656
705,Burruyacú,11,3637
706,"Buta Ranquil",11,3648
707,Cachí,11,3643
708,Cafayate,11,3643
709,Caimancito,11,3645
710,Calchaquí,11,3641
711,"Caleta Olivia",11,3649
712,Caleufú,11,3655
713,Calilegua,11,3645
714,Calingasta,11,3634
715,Camarones,11,3651
716,"Camilo Aldao",11,3642
717,"Campo Gallo",11,3635
718,"Campo Grande",11,3644
719,"Campo Largo",11,3640
720,"Campo Quijano",11,3643
721,"Campo Ramón",11,3644
722,"Campo Viera",11,3644
723,Canals,11,3642
724,Candelaria,11,3644
725,Candelaria,11,3636
726,Capayán,11,3647
727,"Capilla del Monte",11,3642
728,Capioví,11,3644
729,"Capitán Bermúdez",11,3641
730,"Capitán Solari",11,3640
731,Caraguatay,11,3644
732,Carcarañá,11,3641
733,Carnerillo,11,3642
734,Carrilobo,11,3642
735,Caseros,11,3654
736,Casilda,11,3641
737,Castelli,11,3640
738,"Castro Barros",11,3653
739,Catriel,11,3639
740,Catriló,11,3655
741,Caucete,11,3634
742,Cavanagh,11,3642
743,"Cañada de Gómez",11,3641
744,"Cañada de Luque",11,3642
745,Ceibas,11,3654
746,Centenario,11,3648
747,Ceres,11,3641
748,"Cerro Azul",11,3644
749,"Cerro Corá",11,3644
750,Cervantes,11,3639
751,Chajarí,11,3654
752,Chamical,11,3653
753,Charadai,11,3640
754,Charata,11,3640
755,Charras,11,3642
756,Chavarría,11,3638
757,Chazón,11,3642
758,"Chañar Ladeado",11,3641
759,Chichinales,11,3639
760,Chicoana,11,3643
761,Chilecito,11,3653
762,Chimbas,11,3634
763,Chimpay,11,3639
764,"Choele Choel",11,3639
765,Chorotis,11,3640
766,"Chos Malal",11,3648
767,"Ciervo Petiso",11,3640
768,"Cinco Saltos",11,3639
769,Cintra,11,3642
770,Cipolletti,11,3639
771,Clodomira,11,3635
772,Clorinda,11,3652
773,Colegiales,11,3656
774,"Colonia Aurora",11,3644
775,"Colonia Barón",11,3655
776,"Colonia Benítez",11,3640
777,"Colonia Dora",11,3635
778,"Colonia Elisa",11,3640
779,"Colonia Elía",11,3654
780,"Colonia La Tordilla",11,3642
781,"Colonia San Bartolomé",11,3642
782,"Colonias Unidas",11,3640
783,Colón,11,3654
784,Comallo,11,3639
785,"Comandante Fontana",11,3652
786,"Comandante Luis Piedra Buena",11,3649
787,"Comodoro Rivadavia",11,3651
788,Concarán,11,3636
789,Concepción,11,3638
790,"Concepción de la Sierra",11,3644
791,"Concepción del Bermejo",11,3640
792,"Concepción del Uruguay",11,3654
793,Concordia,11,3654
794,"Conscripto Bernardi",11,3654
795,"Contraalmirante Cordero",11,3639
796,Coronda,11,3641
797,"Coronel Baigorria",11,3642
798,"Coronel Belisle",11,3639
799,"Coronel Du Graty",11,3640
800,"Coronel Moldes",11,3642
801,"Corral de Bustos",11,3642
802,Corralito,11,3642
803,Corrientes,11,3638
804,Corzuela,11,3640
805,Cosquín,11,3642
806,"Costa Sacate",11,3642
807,Coté-Lai,11,3640
808,Crespo,11,3654
809,"Cruz Alta",11,3642
810,"Cruz de los Milagros",11,3638
811,"Cruz del Eje",11,3642
812,"Cuesta Blanca",11,3642
813,"Curuzú Cuatiá",11,3638
814,Cutral-Có,11,3648
815,Córdoba,11,3642
816,"Dalmacio Vélez Sársfield",11,3642
817,Darwin,11,3639
818,"Del Campillo",11,3642
819,"Departamento Capital",11,3643
820,"Departamento de Aguirre",11,3635
821,"Departamento de Albardón",11,3634
822,"Departamento de Almirante Brown",11,3640
823,"Departamento de Aluminé",11,3648
824,"Departamento de Ambato",11,3647
825,"Departamento de Ancasti",11,3647
826,"Departamento de Andalgalá",11,3647
827,"Departamento de Angaco",11,3634
828,"Departamento de Anta",11,3643
829,"Departamento de Antofagasta de la Sierra",11,3647
830,"Departamento de Apóstoles",11,3644
831,"Departamento de Arauco",11,3653
832,"Departamento de Avellaneda",11,3639
833,"Departamento de Añelo",11,3648
834,"Departamento de Banda",11,3635
835,"Departamento de Belgrano",11,3641
836,"Departamento de Bella Vista",11,3638
837,"Departamento de Bermejo",11,3640
838,"Departamento de Berón de Astrada",11,3638
839,"Departamento de Biedma",11,3651
840,"Departamento de Burruyacú",11,3637
841,"Departamento de Cainguás",11,3644
842,"Departamento de Calamuchita",11,3642
843,"Departamento de Caleu-Caleu",11,3655
844,"Departamento de Calingasta",11,3634
845,"Departamento de Candelaria",11,3644
846,"Departamento de Capayán",11,3647
847,"Departamento de Capital",11,3638
848,"Departamento de Capital",11,3644
849,"Departamento de Capital",11,3647
850,"Departamento de Capital",11,3646
851,"Departamento de Capital",11,3634
852,"Departamento de Capital",11,3637
853,"Departamento de Caseros",11,3641
854,"Departamento de Castellanos",11,3641
855,"Departamento de Catán-Lil",11,3648
856,"Departamento de Caucete",11,3634
857,"Departamento de Cerrillos",11,3643
858,"Departamento de Chicoana",11,3643
859,"Departamento de Chimbas",11,3634
860,"Departamento de Chos-Malal",11,3648
861,"Departamento de Choya",11,3635
862,"Departamento de Cochinoca",11,3645
863,"Departamento de Collón-Curá",11,3648
864,"Departamento de Colón",11,3642
865,"Departamento de Comandante Fernández",11,3640
866,"Departamento de Concepción",11,3638
867,"Departamento de Concepción de la Sierra",11,3644
868,"Departamento de Confluencia",11,3648
869,"Departamento de Constitución",11,3641
870,"Departamento de Cruz Alta",11,3637
871,"Departamento de Cruz del Eje",11,3642
872,"Departamento de Curuzú Cuatiá",11,3638
873,"Departamento de Cushamen",11,3651
874,"Departamento de Deseado",11,3649
875,"Departamento de Doce de Octubre",11,3640
876,"Departamento de Dos de Abril",11,3640
877,"Departamento de El Alto",11,3647
878,"Departamento de Eldorado",11,3644
879,"Departamento de Empedrado",11,3638
880,"Departamento de Escalante",11,3651
881,"Departamento de Esquina",11,3638
882,"Departamento de Famaillá",11,3637
883,"Departamento de Florentino Ameghino",11,3651
884,"Departamento de Fray Mamerto Esquiú",11,3647
885,"Departamento de Futaleufú",11,3651
886,"Departamento de Gaimán",11,3651
887,"Departamento de Gastre",11,3651
888,"Departamento de General Alvear",11,3638
889,"Departamento de General Alvear",11,3646
890,"Departamento de General Donovan",11,3640
891,"Departamento de General Güemes",11,3643
892,"Departamento de General Güemes",11,3640
893,"Departamento de General Lamadrid",11,3653
894,"Departamento de General Manuel Belgrano",11,3644
895,"Departamento de General Paz",11,3638
896,"Departamento de General Roca",11,3642
897,"Departamento de General San Martín",11,3642
898,"Departamento de Godoy Cruz",11,3646
899,"Departamento de Goya",11,3638
900,"Departamento de Graneros",11,3637
901,"Departamento de Guachipas",11,3643
902,"Departamento de Gualeguaychú",11,3654
903,"Departamento de Guaraní",11,3644
904,"Departamento de Guasayán",11,3635
905,"Departamento de Guaymallén",11,3646
906,"Departamento de Güer Aike",11,3649
907,"Departamento de Iglesia",11,3634
908,"Departamento de Iguazú",11,3644
909,"Departamento de Independencia",11,3640
910,"Departamento de Independencia",11,3653
911,"Departamento de Iruya",11,3643
912,"Departamento de Itatí",11,3638
913,"Departamento de Ituzaingó",11,3638
914,"Departamento de Juárez Celman",11,3642
